team,group,matches_played,wins,draws,losses,goals_for,goals_against,goal_difference,points,group_position,advanced_flag,qualification_type,source_url,retrieval_date
Mexico,Group A,3,3,0,0,6,0,6,9,1,True,Group winner,https://api.fifa.com/api/v3/calendar/17/285023/289273/standing?language=en&count=200,2026-06-29
South Africa,Group A,3,1,1,1,2,3,-1,4,2,True,Runner-up,https://api.fifa.com/api/v3/calendar/17/285023/289273/standing?language=en&count=200,2026-06-29
Korea Republic,Group A,3,1,0,2,2,3,-1,3,3,False,Eliminated,https://api.fifa.com/api/v3/calendar/17/285023/289273/standing?language=en&count=200,2026-06-29
Czechia,Group A,3,0,1,2,2,6,-4,1,4,False,Eliminated,https://api.fifa.com/api/v3/calendar/17/285023/289273/standing?language=en&count=200,2026-06-29
Switzerland,Group B,3,2,1,0,7,3,4,7,1,True,Group winner,https://api.fifa.com/api/v3/calendar/17/285023/289273/standing?language=en&count=200,2026-06-29
Canada,Group B,3,1,1,1,8,3,5,4,2,True,Runner-up,https://api.fifa.com/api/v3/calendar/17/285023/289273/standing?language=en&count=200,2026-06-29
Bosnia and Herzegovina,Group B,3,1,1,1,5,6,-1,4,3,True,Best third-place qualifier,https://api.fifa.com/api/v3/calendar/17/285023/289273/standing?language=en&count=200,2026-06-29
Qatar,Group B,3,0,1,2,2,10,-8,1,4,False,Eliminated,https://api.fifa.com/api/v3/calendar/17/285023/289273/standing?language=en&count=200,2026-06-29
Brazil,Group C,3,2,1,0,7,1,6,7,1,True,Group winner,https://api.fifa.com/api/v3/calendar/17/285023/289273/standing?language=en&count=200,2026-06-29
Morocco,Group C,3,2,1,0,6,3,3,7,2,True,Runner-up,https://api.fifa.com/api/v3/calendar/17/285023/289273/standing?language=en&count=200,2026-06-29
Scotland,Group C,3,1,0,2,1,4,-3,3,3,False,Eliminated,https://api.fifa.com/api/v3/calendar/17/285023/289273/standing?language=en&count=200,2026-06-29
Haiti,Group C,3,0,0,3,2,8,-6,0,4,False,Eliminated,https://api.fifa.com/api/v3/calendar/17/285023/289273/standing?language=en&count=200,2026-06-29
USA,Group D,3,2,0,1,8,4,4,6,1,True,Group winner,https://api.fifa.com/api/v3/calendar/17/285023/289273/standing?language=en&count=200,2026-06-29
Australia,Group D,3,1,1,1,2,2,0,4,2,True,Runner-up,https://api.fifa.com/api/v3/calendar/17/285023/289273/standing?language=en&count=200,2026-06-29
Paraguay,Group D,3,1,1,1,2,4,-2,4,3,True,Best third-place qualifier,https://api.fifa.com/api/v3/calendar/17/285023/289273/standing?language=en&count=200,2026-06-29
Türkiye,Group D,3,1,0,2,3,5,-2,3,4,False,Eliminated,https://api.fifa.com/api/v3/calendar/17/285023/289273/standing?language=en&count=200,2026-06-29
Germany,Group E,3,2,0,1,10,4,6,6,1,True,Group winner,https://api.fifa.com/api/v3/calendar/17/285023/289273/standing?language=en&count=200,2026-06-29
Côte d'Ivoire,Group E,3,2,0,1,4,2,2,6,2,True,Runner-up,https://api.fifa.com/api/v3/calendar/17/285023/289273/standing?language=en&count=200,2026-06-29
Ecuador,Group E,3,1,1,1,2,2,0,4,3,True,Best third-place qualifier,https://api.fifa.com/api/v3/calendar/17/285023/289273/standing?language=en&count=200,2026-06-29
Curaçao,Group E,3,0,1,2,1,9,-8,1,4,False,Eliminated,https://api.fifa.com/api/v3/calendar/17/285023/289273/standing?language=en&count=200,2026-06-29
Netherlands,Group F,3,2,1,0,10,4,6,7,1,True,Group winner,https://api.fifa.com/api/v3/calendar/17/285023/289273/standing?language=en&count=200,2026-06-29
Japan,Group F,3,1,2,0,7,3,4,5,2,True,Runner-up,https://api.fifa.com/api/v3/calendar/17/285023/289273/standing?language=en&count=200,2026-06-29
Sweden,Group F,3,1,1,1,7,7,0,4,3,True,Best third-place qualifier,https://api.fifa.com/api/v3/calendar/17/285023/289273/standing?language=en&count=200,2026-06-29
Tunisia,Group F,3,0,0,3,2,12,-10,0,4,False,Eliminated,https://api.fifa.com/api/v3/calendar/17/285023/289273/standing?language=en&count=200,2026-06-29
Belgium,Group G,3,1,2,0,6,2,4,5,1,True,Group winner,https://api.fifa.com/api/v3/calendar/17/285023/289273/standing?language=en&count=200,2026-06-29
Egypt,Group G,3,1,2,0,5,3,2,5,2,True,Runner-up,https://api.fifa.com/api/v3/calendar/17/285023/289273/standing?language=en&count=200,2026-06-29
IR Iran,Group G,3,0,3,0,3,3,0,3,3,False,Eliminated,https://api.fifa.com/api/v3/calendar/17/285023/289273/standing?language=en&count=200,2026-06-29
New Zealand,Group G,3,0,1,2,4,10,-6,1,4,False,Eliminated,https://api.fifa.com/api/v3/calendar/17/285023/289273/standing?language=en&count=200,2026-06-29
Spain,Group H,3,2,1,0,5,0,5,7,1,True,Group winner,https://api.fifa.com/api/v3/calendar/17/285023/289273/standing?language=en&count=200,2026-06-29
Cabo Verde,Group H,3,0,3,0,2,2,0,3,2,True,Runner-up,https://api.fifa.com/api/v3/calendar/17/285023/289273/standing?language=en&count=200,2026-06-29
Uruguay,Group H,3,0,2,1,3,4,-1,2,3,False,Eliminated,https://api.fifa.com/api/v3/calendar/17/285023/289273/standing?language=en&count=200,2026-06-29
Saudi Arabia,Group H,3,0,2,1,1,5,-4,2,4,False,Eliminated,https://api.fifa.com/api/v3/calendar/17/285023/289273/standing?language=en&count=200,2026-06-29
France,Group I,3,3,0,0,10,2,8,9,1,True,Group winner,https://api.fifa.com/api/v3/calendar/17/285023/289273/standing?language=en&count=200,2026-06-29
Norway,Group I,3,2,0,1,8,7,1,6,2,True,Runner-up,https://api.fifa.com/api/v3/calendar/17/285023/289273/standing?language=en&count=200,2026-06-29
Senegal,Group I,3,1,0,2,8,6,2,3,3,True,Best third-place qualifier,https://api.fifa.com/api/v3/calendar/17/285023/289273/standing?language=en&count=200,2026-06-29
Iraq,Group I,3,0,0,3,1,12,-11,0,4,False,Eliminated,https://api.fifa.com/api/v3/calendar/17/285023/289273/standing?language=en&count=200,2026-06-29
Argentina,Group J,3,3,0,0,8,1,7,9,1,True,Group winner,https://api.fifa.com/api/v3/calendar/17/285023/289273/standing?language=en&count=200,2026-06-29
Austria,Group J,3,1,1,1,6,6,0,4,2,True,Runner-up,https://api.fifa.com/api/v3/calendar/17/285023/289273/standing?language=en&count=200,2026-06-29
Algeria,Group J,3,1,1,1,5,7,-2,4,3,True,Best third-place qualifier,https://api.fifa.com/api/v3/calendar/17/285023/289273/standing?language=en&count=200,2026-06-29
Jordan,Group J,3,0,0,3,3,8,-5,0,4,False,Eliminated,https://api.fifa.com/api/v3/calendar/17/285023/289273/standing?language=en&count=200,2026-06-29
Colombia,Group K,3,2,1,0,4,1,3,7,1,True,Group winner,https://api.fifa.com/api/v3/calendar/17/285023/289273/standing?language=en&count=200,2026-06-29
Portugal,Group K,3,1,2,0,6,1,5,5,2,True,Runner-up,https://api.fifa.com/api/v3/calendar/17/285023/289273/standing?language=en&count=200,2026-06-29
Congo DR,Group K,3,1,1,1,4,3,1,4,3,True,Best third-place qualifier,https://api.fifa.com/api/v3/calendar/17/285023/289273/standing?language=en&count=200,2026-06-29
Uzbekistan,Group K,3,0,0,3,2,11,-9,0,4,False,Eliminated,https://api.fifa.com/api/v3/calendar/17/285023/289273/standing?language=en&count=200,2026-06-29
England,Group L,3,2,1,0,6,2,4,7,1,True,Group winner,https://api.fifa.com/api/v3/calendar/17/285023/289273/standing?language=en&count=200,2026-06-29
Croatia,Group L,3,2,0,1,5,5,0,6,2,True,Runner-up,https://api.fifa.com/api/v3/calendar/17/285023/289273/standing?language=en&count=200,2026-06-29
Ghana,Group L,3,1,1,1,2,2,0,4,3,True,Best third-place qualifier,https://api.fifa.com/api/v3/calendar/17/285023/289273/standing?language=en&count=200,2026-06-29
Panama,Group L,3,0,0,3,0,4,-4,0,4,False,Eliminated,https://api.fifa.com/api/v3/calendar/17/285023/289273/standing?language=en&count=200,2026-06-29
