team,country_code,player,position,minutes,starts,appearances,source_name,source_url,retrieval_date,notes
Algeria,ALG,Aissa MANDI,Defender,292,3,3,FIFA API live/football and timelines,https://api.fifa.com/api/v3/live/football/400021496?language=en https://api.fifa.com/api/v3/timelines/400021496?language=en https://api.fifa.com/api/v3/live/football/400021499?language=en https://api.fifa.com/api/v3/timelines/400021499?language=en https://api.fifa.com/api/v3/live/football/400021497?language=en https://api.fifa.com/api/v3/timelines/400021497?language=en,2026-06-29,
Algeria,ALG,Fares CHAIBI,Midfielder,292,3,3,FIFA API live/football and timelines,https://api.fifa.com/api/v3/live/football/400021496?language=en https://api.fifa.com/api/v3/timelines/400021496?language=en https://api.fifa.com/api/v3/live/football/400021499?language=en https://api.fifa.com/api/v3/timelines/400021499?language=en https://api.fifa.com/api/v3/live/football/400021497?language=en https://api.fifa.com/api/v3/timelines/400021497?language=en,2026-06-29,
Algeria,ALG,Ramy BENSEBAINI,Defender,292,3,3,FIFA API live/football and timelines,https://api.fifa.com/api/v3/live/football/400021496?language=en https://api.fifa.com/api/v3/timelines/400021496?language=en https://api.fifa.com/api/v3/live/football/400021499?language=en https://api.fifa.com/api/v3/timelines/400021499?language=en https://api.fifa.com/api/v3/live/football/400021497?language=en https://api.fifa.com/api/v3/timelines/400021497?language=en,2026-06-29,
Algeria,ALG,Ibrahim MAZA,Midfielder,277,3,3,FIFA API live/football and timelines,https://api.fifa.com/api/v3/live/football/400021496?language=en https://api.fifa.com/api/v3/timelines/400021496?language=en https://api.fifa.com/api/v3/live/football/400021499?language=en https://api.fifa.com/api/v3/timelines/400021499?language=en https://api.fifa.com/api/v3/live/football/400021497?language=en https://api.fifa.com/api/v3/timelines/400021497?language=en,2026-06-29,
Algeria,ALG,Rafik BELGHALI,Defender,266,3,3,FIFA API live/football and timelines,https://api.fifa.com/api/v3/live/football/400021496?language=en https://api.fifa.com/api/v3/timelines/400021496?language=en https://api.fifa.com/api/v3/live/football/400021499?language=en https://api.fifa.com/api/v3/timelines/400021499?language=en https://api.fifa.com/api/v3/live/football/400021497?language=en https://api.fifa.com/api/v3/timelines/400021497?language=en,2026-06-29,
Algeria,ALG,Amine GOUIRI,Forward,220,3,3,FIFA API live/football and timelines,https://api.fifa.com/api/v3/live/football/400021496?language=en https://api.fifa.com/api/v3/timelines/400021496?language=en https://api.fifa.com/api/v3/live/football/400021499?language=en https://api.fifa.com/api/v3/timelines/400021499?language=en https://api.fifa.com/api/v3/live/football/400021497?language=en https://api.fifa.com/api/v3/timelines/400021497?language=en,2026-06-29,
Algeria,ALG,Rayan AIT-NOURI,Defender,208,2,3,FIFA API live/football and timelines,https://api.fifa.com/api/v3/live/football/400021496?language=en https://api.fifa.com/api/v3/timelines/400021496?language=en https://api.fifa.com/api/v3/live/football/400021499?language=en https://api.fifa.com/api/v3/timelines/400021499?language=en https://api.fifa.com/api/v3/live/football/400021497?language=en https://api.fifa.com/api/v3/timelines/400021497?language=en,2026-06-29,
Algeria,ALG,Riyad Mahrez,Forward,206,2,3,FIFA API live/football and timelines,https://api.fifa.com/api/v3/live/football/400021496?language=en https://api.fifa.com/api/v3/timelines/400021496?language=en https://api.fifa.com/api/v3/live/football/400021499?language=en https://api.fifa.com/api/v3/timelines/400021499?language=en https://api.fifa.com/api/v3/live/football/400021497?language=en https://api.fifa.com/api/v3/timelines/400021497?language=en,2026-06-29,
Algeria,ALG,Luca ZIDANE,Goalkeeper,195,2,2,FIFA API live/football and timelines,https://api.fifa.com/api/v3/live/football/400021496?language=en https://api.fifa.com/api/v3/timelines/400021496?language=en https://api.fifa.com/api/v3/live/football/400021499?language=en https://api.fifa.com/api/v3/timelines/400021499?language=en,2026-06-29,
Algeria,ALG,Nabil Bentaleb,Midfielder,187,2,3,FIFA API live/football and timelines,https://api.fifa.com/api/v3/live/football/400021496?language=en https://api.fifa.com/api/v3/timelines/400021496?language=en https://api.fifa.com/api/v3/live/football/400021499?language=en https://api.fifa.com/api/v3/timelines/400021499?language=en https://api.fifa.com/api/v3/live/football/400021497?language=en https://api.fifa.com/api/v3/timelines/400021497?language=en,2026-06-29,
Algeria,ALG,Hicham BOUDAOUI,Midfielder,154,2,2,FIFA API live/football and timelines,https://api.fifa.com/api/v3/live/football/400021496?language=en https://api.fifa.com/api/v3/timelines/400021496?language=en https://api.fifa.com/api/v3/live/football/400021499?language=en https://api.fifa.com/api/v3/timelines/400021499?language=en,2026-06-29,
Algeria,ALG,Houssem Aouar,Midfielder,123,1,2,FIFA API live/football and timelines,https://api.fifa.com/api/v3/live/football/400021496?language=en https://api.fifa.com/api/v3/timelines/400021496?language=en https://api.fifa.com/api/v3/live/football/400021497?language=en https://api.fifa.com/api/v3/timelines/400021497?language=en,2026-06-29,
Algeria,ALG,Ramiz ZERROUKI,Midfielder,105,1,2,FIFA API live/football and timelines,https://api.fifa.com/api/v3/live/football/400021496?language=en https://api.fifa.com/api/v3/timelines/400021496?language=en https://api.fifa.com/api/v3/live/football/400021499?language=en https://api.fifa.com/api/v3/timelines/400021499?language=en,2026-06-29,
Algeria,ALG,Oussama BENBOT,Goalkeeper,97,1,1,FIFA API live/football and timelines,https://api.fifa.com/api/v3/live/football/400021497?language=en https://api.fifa.com/api/v3/timelines/400021497?language=en,2026-06-29,
Algeria,ALG,Anis HADJ MOUSSA,Forward,86,1,2,FIFA API live/football and timelines,https://api.fifa.com/api/v3/live/football/400021496?language=en https://api.fifa.com/api/v3/timelines/400021496?language=en https://api.fifa.com/api/v3/live/football/400021499?language=en https://api.fifa.com/api/v3/timelines/400021499?language=en,2026-06-29,
Algeria,ALG,Jaouen HADJAM,Defender,84,1,2,FIFA API live/football and timelines,https://api.fifa.com/api/v3/live/football/400021499?language=en https://api.fifa.com/api/v3/timelines/400021499?language=en https://api.fifa.com/api/v3/live/football/400021497?language=en https://api.fifa.com/api/v3/timelines/400021497?language=en,2026-06-29,
Algeria,ALG,Zineddine BELAID,Defender,39,0,2,FIFA API live/football and timelines,https://api.fifa.com/api/v3/live/football/400021499?language=en https://api.fifa.com/api/v3/timelines/400021499?language=en https://api.fifa.com/api/v3/live/football/400021497?language=en https://api.fifa.com/api/v3/timelines/400021497?language=en,2026-06-29,
Algeria,ALG,Mohamed AMOURA,Forward,33,0,1,FIFA API live/football and timelines,https://api.fifa.com/api/v3/live/football/400021496?language=en https://api.fifa.com/api/v3/timelines/400021496?language=en,2026-06-29,
Algeria,ALG,Samir CHERGUI,Defender,26,0,1,FIFA API live/football and timelines,https://api.fifa.com/api/v3/live/football/400021497?language=en https://api.fifa.com/api/v3/timelines/400021497?language=en,2026-06-29,
Algeria,ALG,Adil BOULBINA,Forward,15,0,1,FIFA API live/football and timelines,https://api.fifa.com/api/v3/live/football/400021496?language=en https://api.fifa.com/api/v3/timelines/400021496?language=en,2026-06-29,
Algeria,ALG,Nadhir BENBOUALI,Forward,8,0,1,FIFA API live/football and timelines,https://api.fifa.com/api/v3/live/football/400021499?language=en https://api.fifa.com/api/v3/timelines/400021499?language=en,2026-06-29,
Algeria,ALG,Fares GHEDJEMIS,Forward,7,0,1,FIFA API live/football and timelines,https://api.fifa.com/api/v3/live/football/400021497?language=en https://api.fifa.com/api/v3/timelines/400021497?language=en,2026-06-29,
Argentina,ARG,Emiliano MARTINEZ,Goalkeeper,291,3,3,FIFA API live/football and timelines,https://api.fifa.com/api/v3/live/football/400021496?language=en https://api.fifa.com/api/v3/timelines/400021496?language=en https://api.fifa.com/api/v3/live/football/400021494?language=en https://api.fifa.com/api/v3/timelines/400021494?language=en https://api.fifa.com/api/v3/live/football/400021495?language=en https://api.fifa.com/api/v3/timelines/400021495?language=en,2026-06-29,
Argentina,ARG,Alexis MAC ALLISTER,Midfielder,231,2,3,FIFA API live/football and timelines,https://api.fifa.com/api/v3/live/football/400021496?language=en https://api.fifa.com/api/v3/timelines/400021496?language=en https://api.fifa.com/api/v3/live/football/400021494?language=en https://api.fifa.com/api/v3/timelines/400021494?language=en https://api.fifa.com/api/v3/live/football/400021495?language=en https://api.fifa.com/api/v3/timelines/400021495?language=en,2026-06-29,
Argentina,ARG,Lionel MESSI,Forward,214,2,3,FIFA API live/football and timelines,https://api.fifa.com/api/v3/live/football/400021496?language=en https://api.fifa.com/api/v3/timelines/400021496?language=en https://api.fifa.com/api/v3/live/football/400021494?language=en https://api.fifa.com/api/v3/timelines/400021494?language=en https://api.fifa.com/api/v3/live/football/400021495?language=en https://api.fifa.com/api/v3/timelines/400021495?language=en,2026-06-29,
